ip,latitude,longitude,device_type,model,location_label,last_seen,port,org,country,region,poc_batch,trial_profile
10.0.0.1,38.899594,-77.021707,Bullet Camera,Bosch FLEXIDOME,Washington Sector 1,2025-01-19,554,Cloudflare,US,North America,GLOBAL_500_V2,expired_heavy
10.0.0.2,25.559101,51.688936,Bullet Camera,Hikvision DS-2CD2085G1,Doha Sector 2,2025-08-05,80,Cloudflare,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.0.3,32.110321,34.440048,PTZ Camera,Dahua SD49425XB,Tel Aviv Sector 3,2025-10-17,80,Lumen,IL,Middle East,GLOBAL_500_V2,expired_heavy
10.0.0.4,25.321652,51.283459,IP Camera,Sony SNC-EP580,Doha Sector 4,2024-11-07,443,Lumen,QA,Middle East,GLOBAL_500_V2,expired_heavy
10.0.0.5,6.397453,3.286882,Bullet Camera,Axis P5655-E,Lagos Sector 5,2025-10-09,80,Verizon,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.0.6,6.590525,3.678041,Bullet Camera,Hanwha XNV-8080R,Lagos Sector 6,2025-07-31,8080,Cloudflare,NG,Africa,GLOBAL_500_V2,expired_heavy
10.0.0.7,52.338438,21.241238,Dome Camera,Sony SNC-EP580,Warsaw Sector 7,2026-02-04,554,Lumen,PL,Europe,GLOBAL_500_V2,expired_heavy
10.0.0.8,-34.552986,-58.542876,Dome Camera,Bosch FLEXIDOME,Buenos Aires Sector 8,2025-01-02,80,Cloudflare,AR,South America,GLOBAL_500_V2,expired_heavy
10.0.0.9,-38.008891,145.116348,PTZ Camera,Bosch FLEXIDOME,Melbourne Sector 9,2025-10-10,554,Lumen,AU,Oceania,GLOBAL_500_V2,expired_heavy
10.0.0.10,-12.303494,-77.224904,Dome Camera,Hanwha XNV-8080R,Lima Sector 10,2025-11-18,80,Cloudflare,PE,South America,GLOBAL_500_V2,expired_heavy
10.0.0.11,-1.49066,36.603201,IP Camera,Dahua SD49425XB,Nairobi Sector 11,2025-10-12,80,Lumen,KE,Africa,GLOBAL_500_V2,expired_heavy
